task,task_name,step,n,accuracy,correct,seconds,peak_mem_gb,source
sciq,SciQ,24,100,0.900000,90,143.306023,15.548512,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps24_9task_limit100_seed23.json
sciq,SciQ,32,100,0.900000,90,192.036867,15.548512,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps32_9task_limit100_seed23.json
sciq,SciQ,40,100,0.900000,90,228.433343,15.548512,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps40_9task_limit100_seed23.json
winogrande,WinoGrande,2,100,0.690000,69,11.316356,15.439712,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps2_9task_limit100_seed23.json
winogrande,WinoGrande,4,100,0.730000,73,9.814497,15.439712,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps4_9task_limit100_seed23.json
winogrande,WinoGrande,6,100,0.700000,70,34.236773,15.439712,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps6_9task_limit100_seed23.json
winogrande,WinoGrande,8,100,0.740000,74,41.004770,15.439712,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps8_9task_limit100_seed23.json
winogrande,WinoGrande,10,100,0.740000,74,56.906889,15.439712,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps10_9task_limit100_seed23.json
winogrande,WinoGrande,12,100,0.730000,73,58.891273,15.439712,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps12_9task_limit100_seed23.json
winogrande,WinoGrande,14,100,0.730000,73,79.378736,15.439712,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps14_9task_limit100_seed23.json
winogrande,WinoGrande,16,100,0.730000,73,81.299871,15.439712,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps16_9task_limit100_seed23.json
winogrande,WinoGrande,18,100,0.740000,74,101.555184,15.439712,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps18_9task_limit100_seed23.json
winogrande,WinoGrande,20,100,0.740000,74,104.274330,15.439712,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps20_9task_limit100_seed23.json
winogrande,WinoGrande,22,100,0.740000,74,123.669083,15.439712,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps22_9task_limit100_seed23.json
winogrande,WinoGrande,24,100,0.740000,74,126.847634,15.439712,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps24_9task_limit100_seed23.json
winogrande,WinoGrande,32,100,0.740000,74,171.657723,15.439712,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps32_9task_limit100_seed23.json
winogrande,WinoGrande,40,100,0.740000,74,215.390890,15.439713,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps40_9task_limit100_seed23.json
